"id","status","sort","date_created","date_updated","translations"
"by_continuing_you_agree_to_terms_and_conditions_and_privacy_policy","draft",,"2024-03-05T23:12:25.480Z",,"[{""text"":""بالمتابعة، فإنك توافق على شروط الاستخدام وسياسة الخصوصية"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Mit dem Fortfahren stimmen Sie den Nutzungsbedingungen und der Datenschutzerklärung zu"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""By continuing, you agree to the Terms of Use and Privacy Policy"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Al continuar, acepta las Condiciones de uso y la Política de privacidad"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""En continuant, vous acceptez les conditions d'utilisation et la déclaration de confidentialité."",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Continuando, l'utente accetta le Condizioni d'uso e l'Informativa sulla privacy."",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Ao continuar, você concorda com os Termos de Uso e a Política de Privacidade"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Продолжая, вы соглашаетесь с Условиями использования и Политикой конфиденциальности"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"cancel","draft",,"2024-03-05T22:59:11.493Z",,"[{""text"":""إلغاء"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Abbrechen"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Cancel"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cancelar"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Annuler"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Annullamento"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cancelar"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Отмена"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"canteen","draft",,"2024-03-05T23:05:28.212Z",,"[{""text"":""المقصف"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Mensa"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Canteen"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cantina"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cantine"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Mensa"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cantina"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Столовая"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"canteens","draft",,"2024-03-05T23:09:30.086Z",,"[{""text"":""المقصف"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Mensa"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Canteen"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cantina"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cantine"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Mensa"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cantina"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Столовая"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"closed_after","draft",,"2024-03-05T23:06:38.368Z",,"[{""text"":""مغلق من"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Geschlossen ab"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Closed from"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cerrado a partir de"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Fermé à partir de"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Chiuso da"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Fechado a partir de"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Закрыто от"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"color","draft",,"2024-03-05T22:59:04.127Z",,"[{""text"":""الألوان"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Farbe"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Color"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Color"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Couleur"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Colore"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cor"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Цвет"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"color_scheme","draft",,"2024-03-05T23:11:51.489Z",,"[{""text"":""مخطط الألوان"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Farbschema"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Color scheme"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Combinación de colores"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Schéma de couleurs"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Schema di colore"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Esquema de cores"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Цветовая схема"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"color_scheme_dark","draft",,"2024-03-05T23:12:07.116Z",,"[{""text"":""داكن"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Dunkel"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Dark"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Oscuro"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Sombre"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Scuro"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Escuro"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Темнота"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"color_scheme_light","draft",,"2024-03-05T23:11:59.184Z",,"[{""text"":""خفيف"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Hell"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Light"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Luz"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Lumineux"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Luce"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Luz"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Свет"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"color_scheme_system","draft",,"2024-03-05T23:12:14.889Z",,"[{""text"":""النظام"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""System"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""System"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Sistema"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Système"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Sistema"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Sistema"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Система"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"confirm","draft",,"2024-03-05T22:55:39.024Z",,"[{""text"":""تأكيد"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Bestätigen"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Confirm"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Confirme"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Confirmer"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Confermare"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Confirmar"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Подтвердите"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"confirm_password","draft",,"2024-03-05T23:07:41.330Z",,"[{""text"":""تأكيد كلمة المرور"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Passwort bestätigen"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Confirm password"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Confirmar contraseña"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Confirmer le mot de passe"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Confermare la password"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Confirmar senha"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Подтвердите пароль"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"continue","draft",,"2024-03-05T23:04:41.956Z",,"[{""text"":""تابع"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Fortfahren"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Continue"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Continúe en"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Continuer"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Continua"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Continuar"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Продолжить"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"continue_as_anonymous","draft",,"2024-03-05T23:07:51.331Z",,"[{""text"":""المتابعة دون الكشف عن الهوية"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Anonym fortfahren"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Continue anonymously"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Continuar anónimamente"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Continuer anonymement"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Continuare in modo anonimo"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Continue anônimo"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Продолжить анонимно"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"cookie_policy","draft",,"2024-03-05T23:03:30.235Z",,"[{""text"":""سياسة ملفات تعريف الارتباط"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cookie-Richtlinie"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Cookie Policy"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Política de cookies"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Politique en matière de cookies"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Informativa sui cookie"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Política de cookies"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Политика использования файлов cookie"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"cookie_policy_about","draft",,"2024-03-05T23:12:58.000Z",,"[{""text"":""حول سياسة ملفات تعريف الارتباط"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Über die Cookie-Richtlinie"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""About the cookie policy"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Acerca de la política de cookies"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""À propos de la politique en matière de cookies"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Informazioni sulla politica dei cookie"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Sobre a política de cookies"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""О политике использования файлов cookie"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"cookie_policy_button_accept_all","draft",,"2024-03-05T23:13:06.870Z",,"[{""text"":""قبول جميع ملفات تعريف الارتباط"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Alle Cookies akzeptieren"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Accept all cookies"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Aceptar todas las cookies"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Accepter tous les cookies"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Accettare tutti i cookie"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Aceitar todos os cookies"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Принять все файлы cookie"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"cookie_policy_button_allow_selected","draft",,"2024-03-05T23:13:27.487Z",,"[{""text"":""السماح بملفات تعريف الارتباط المحددة"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Ausgewählte Cookies zulassen"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Allow selected cookies"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Permitir cookies seleccionadas"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Autoriser les cookies sélectionnés"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Consentire i cookie selezionati"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Permitir cookies selecionados"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Разрешить выбранные файлы cookie"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"cookie_policy_button_deny_all","draft",,"2024-03-05T23:13:17.065Z",,"[{""text"":""رفض جميع ملفات تعريف الارتباط"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Alle Cookies ablehnen"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Reject all cookies"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Rechazar todas las cookies"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Refuser tous les cookies"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Rifiutare tutti i cookie"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Rejeitar todos os cookies"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Отклонить все файлы cookie"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
