MENSA	VBORT_ID	DATUM	VK-ArtikelNr	VK-GebindeNR	SPEISE	SPEISE_BEZEICHNUNG	REZEPTUR_ID	TEXT1	TEXT2	TEXT3	TEXT4	TEXT5	TEXT6	TEXT1_1	TEXT2_1	TEXT3_1	TEXT4_1	TEXT5_1	TEXT6_1	PREIS_STUDENT	PREIS_BEDIENSTETER	PREIS_GAST	PREIS_STUDENT_KARTE	PREIS_BEDIENSTETER_KARTE	PREIS_GAST_KARTE	FREI1	FREI2	FREI3	ZSNUMMERN	ZSNAMEN	NAEHRWERTEJE100G	NAEHRWERTEJEPORT	NW_KJ	NW_KCAL	NW_FETT	NW_GESFETT	NW_EIWEISS	NW_KH	NW_ZUCKER	NW_SALZ
Contine	190	17.10.2024	303227	241291	SÜSSE ECKE		801924	Helle Schokoladen-Orangen-Quarkspeise mit Mandelsplitter (25,26,27J)												0,80	1,30	1,70	0,80	1,30	1,70				25, 26, 27, 27J, 99, n	enthält Soja und Sojaerzeugnisse, enthält Milch und Milcherzeugnisse, Schalenfrüchte, enthält Schalenfrüchte: Mandeln, ohne kennzeichnungspflichtige Zusatzstoffe, Natürlich frisch! / natural(ly) fresh!	-	Brennwert=1185 kJ (283 kcal), Fett=11,5g, davon gesättigte Fettsäuren=7,4g, Kohlenhydrate=25,4g, davon Zucker=24,5g, Ballaststoffe=0,0g, Eiweiß=18,7g, Salz=0,2g,	1185,3	283	11,5	7,4	18,7	25,4	24,5	0,2
Contine	190	17.10.2024	309326	291985	FLEISCH & MEER		801811	Rindergulasch mit Paprika und Champignons (5,k,28,31,r,a)	Kartoffelklöße					beef goulash with sweet pepper and mushrooms (5,k,28,31,r,a)	potato dumplings					3,20	6,50	8,10	3,20	6,50	8,10				5, k, 28, 31, r, a, 99	geschwefelt / sulphite, mit Knoblauch / contains garlic, enthält Sellerie und Sellerieerzeugnisse, enthält Schwefeldioxid und Sulfite > 10 mg/kg, enthält Rindfleisch / beef, mit Alkohol / contains alcohol, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=1935 kJ (462 kcal), Fett=6,9g, davon gesättigte Fettsäuren=2,8g, Kohlenhydrate=60,5g, davon Zucker=11,0g, Eiweiß=35,9g, Salz=4,7g,	1934,8	462	6,9	2,8	35,9	60,5	11,0	4,7
Contine	190	17.10.2024	309326	291985	FLEISCH & MEER		800459	Rindergulasch mit Paprika und Champignons (5,k,28,31,r,a)	Kartoffelklöße					beef goulash with sweet pepper and mushrooms (5,k,28,31,r,a)	potato dumplings					3,20	6,50	8,10	3,20	6,50	8,10				5, k, 28, 31, r, a, 99	geschwefelt / sulphite, mit Knoblauch / contains garlic, enthält Sellerie und Sellerieerzeugnisse, enthält Schwefeldioxid und Sulfite > 10 mg/kg, enthält Rindfleisch / beef, mit Alkohol / contains alcohol, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=1935 kJ (462 kcal), Fett=6,9g, davon gesättigte Fettsäuren=2,8g, Kohlenhydrate=60,5g, davon Zucker=11,0g, Eiweiß=35,9g, Salz=4,7g,	1934,8	462	6,9	2,8	35,9	60,5	11,0	4,7
Contine	190	17.10.2024	309325	291982	PASTA & FRIENDS		802420	Tortellini Tricolore (20A,22,26)	Gorgonzolasauce (26,28)					vegetarian tortellini (20A,22,26)						1,60	4,50	6,40	1,60	4,50	6,40				20, 20A, 22, 26, 27, 27K, 28, 89, 99	Glutenhaltiges Getreide, enthält Glutenhaltiges Getreide: Weizen, enthält Eier und Eiererzeugnisse, enthält Milch und Milcherzeugnisse, Schalenfrüchte, enthält Schalenfrüchte: Haselnüsse, enthält Sellerie und Sellerieerzeugnisse, fleischhaltig, ohne kennzeichnungspflichtige Zusatzstoffe	Brennwert=1827 kJ (436 kcal), Fett=42,7g, davon gesättigte Fettsäuren=2,8g, Kohlenhydrate=4,1g, davon Zucker=2,7g, Eiweiß=9,2g, Salz=0,0g,	Brennwert=3246 kJ (775 kcal), Fett=21,9g, davon gesättigte Fettsäuren=9,8g, Kohlenhydrate=106,5g, davon Zucker=11,1g, Ballaststoffe=5,4g, Eiweiß=33,8g, Salz=4,4g,	3246,1	775	21,9	9,8	33,8	106,5	11,1	4,4
Contine	190	17.10.2024	309298	293796	EVERGREENS		802336	Veganes Schnitzel (20A)	Pommes frites	pflanzliche Pilzrahmsauce (20D)				vegan Schnitzel (20A)	french fries	plantbased fungus-cream-sauce (20D)				3,20	5,60	6,90	3,20	5,60	6,90				3, 15, 20, 20A, 20D, 99	mit Antioxidationsmittel / antioxidant, unter Schutzatmosphäre verpackt / MAP, Glutenhaltiges Getreide, enthält Glutenhaltiges Getreide: Weizen, enthält Glutenhaltiges Getreide: Hafer, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=5029 kJ (1201 kcal), Fett=84,5g, davon gesättigte Fettsäuren=13,7g, Kohlenhydrate=83,4g, davon Zucker=1,7g, Ballaststoffe=3,1g, Eiweiß=24,1g, Salz=3,3g,	5028,7	1201	84,5	13,7	24,1	83,4	1,7	3,3
Contine	190	17.10.2024	309298	293796	EVERGREENS		802338	Veganes Schnitzel (20A)	Pommes frites	pflanzliche Pilzrahmsauce (20D)				vegan Schnitzel (20A)	french fries	plantbased fungus-cream-sauce (20D)				3,20	5,60	6,90	3,20	5,60	6,90				3, 15, 20, 20A, 20D, 99	mit Antioxidationsmittel / antioxidant, unter Schutzatmosphäre verpackt / MAP, Glutenhaltiges Getreide, enthält Glutenhaltiges Getreide: Weizen, enthält Glutenhaltiges Getreide: Hafer, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=5029 kJ (1201 kcal), Fett=84,5g, davon gesättigte Fettsäuren=13,7g, Kohlenhydrate=83,4g, davon Zucker=1,7g, Ballaststoffe=3,1g, Eiweiß=24,1g, Salz=3,3g,	5028,7	1201	84,5	13,7	24,1	83,4	1,7	3,3
Contine	190	17.10.2024	303432	235129	QUEERBEET		802598	Gurkensalat	Dill-Vinaigrette (29,kt)					cucumber salad						0,65	1,00	1,20	0,65	1,00	1,20				29, 99	enthält Senf und Senferzeugnisse, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=920 kJ (220 kcal), Fett=21,7g, davon gesättigte Fettsäuren=2,0g, Kohlenhydrate=5,5g, davon Zucker=5,1g, Eiweiß=0,8g, Salz=0,3g,	920,0	220	21,7	2,0	0,8	5,5	5,1	0,3
Hauptmensa	100	17.10.2024	309328	291991	VEGGIE & VEGAN		802515	Falafel (20A)	scharfe Tomatensauce (k)	Brokkoli	Dattel Couscous (20A,27M)			spicy tomato sauce (k)	broccoli					3,00	6,30	7,90	3,00	6,30	7,90				k, 20, 20A, 27, 27M, 99	mit Knoblauch / contains garlic, Glutenhaltiges Getreide, enthält Glutenhaltiges Getreide: Weizen, Schalenfrüchte, enthält Schalenfrüchte: Kaschunüsse, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=3813 kJ (911 kcal), Fett=33,5g, davon gesättigte Fettsäuren=4,6g, Kohlenhydrate=110,4g, davon Zucker=34,9g, Ballaststoffe=7,0g, Eiweiß=33,0g, Salz=5,0g,	3813,3	911	33,5	4,6	33,0	110,4	34,9	5,0
Hauptmensa	100	17.10.2024	309328	291991	VEGGIE & VEGAN		801414	Falafel (20A)	scharfe Tomatensauce (k)	Brokkoli	Dattel Couscous (20A,27M)			spicy tomato sauce (k)	broccoli					3,00	6,30	7,90	3,00	6,30	7,90				k, 20, 20A, 27, 27M, 99	mit Knoblauch / contains garlic, Glutenhaltiges Getreide, enthält Glutenhaltiges Getreide: Weizen, Schalenfrüchte, enthält Schalenfrüchte: Kaschunüsse, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=3813 kJ (911 kcal), Fett=33,5g, davon gesättigte Fettsäuren=4,6g, Kohlenhydrate=110,4g, davon Zucker=34,9g, Ballaststoffe=7,0g, Eiweiß=33,0g, Salz=5,0g,	3813,3	911	33,5	4,6	33,0	110,4	34,9	5,0
Hauptmensa	100	17.10.2024	308029	282271	EVERGREENS		802337	Frisches Schweineschnitzel (20A,22,s)	Chili-Hollandaise (22,26,28)	Pommes frites				fresh pork schnitzel (20A,22,s)	chili hollandaise (22,26,28)	french fries				4,20	6,00	7,80	4,20	6,00	7,80				3, 15, 20, 20A, 22, 26, 28, s, 99	mit Antioxidationsmittel / antioxidant, unter Schutzatmosphäre verpackt / MAP, Glutenhaltiges Getreide, enthält Glutenhaltiges Getreide: Weizen, enthält Eier und Eiererzeugnisse, enthält Milch und Milcherzeugnisse, enthält Sellerie und Sellerieerzeugnisse, enthält Schweinefleisch / pork, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=5939 kJ (1419 kcal), Fett=112,5g, davon gesättigte Fettsäuren=29,1g, Kohlenhydrate=58,7g, davon Zucker=2,1g, Ballaststoffe=0,2g, Eiweiß=43,0g, Salz=3,6g,	5939,1	1419	112,5	29,1	43,0	58,7	2,1	3,6
Hauptmensa	100	17.10.2024	309326	291985	FLEISCH & MEER		801811	Rindergulasch mit Paprika und Champignons (5,k,28,31,r,a)	Kartoffelklöße					beef goulash with sweet pepper and mushrooms (5,k,28,31,r,a)	potato dumplings					3,20	6,50	8,10	3,20	6,50	8,10				5, k, 28, 31, r, a, 99	geschwefelt / sulphite, mit Knoblauch / contains garlic, enthält Sellerie und Sellerieerzeugnisse, enthält Schwefeldioxid und Sulfite > 10 mg/kg, enthält Rindfleisch / beef, mit Alkohol / contains alcohol, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=1935 kJ (462 kcal), Fett=6,9g, davon gesättigte Fettsäuren=2,8g, Kohlenhydrate=60,5g, davon Zucker=11,0g, Eiweiß=35,9g, Salz=4,7g,	1934,8	462	6,9	2,8	35,9	60,5	11,0	4,7
Hauptmensa	100	17.10.2024	309326	291985	FLEISCH & MEER		800459	Rindergulasch mit Paprika und Champignons (5,k,28,31,r,a)	Kartoffelklöße					beef goulash with sweet pepper and mushrooms (5,k,28,31,r,a)	potato dumplings					3,20	6,50	8,10	3,20	6,50	8,10				5, k, 28, 31, r, a, 99	geschwefelt / sulphite, mit Knoblauch / contains garlic, enthält Sellerie und Sellerieerzeugnisse, enthält Schwefeldioxid und Sulfite > 10 mg/kg, enthält Rindfleisch / beef, mit Alkohol / contains alcohol, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=1935 kJ (462 kcal), Fett=6,9g, davon gesättigte Fettsäuren=2,8g, Kohlenhydrate=60,5g, davon Zucker=11,0g, Eiweiß=35,9g, Salz=4,7g,	1934,8	462	6,9	2,8	35,9	60,5	11,0	4,7
Hauptmensa	100	17.10.2024	309288	291549	EVERGREENS		802338	Frisches Putenschnitzel (20A,22,26,g)	Chili-Hollandaise (22,26,28)	Pommes frites				turkey schnitzel (20A,22,26,g)	chili hollandaise (22,26,28)	french fries				4,20	6,00	7,80	4,20	6,00	7,80				3, 15, 20A, 22, 26, 28, g, 99	mit Antioxidationsmittel / antioxidant, unter Schutzatmosphäre verpackt / MAP, enthält Glutenhaltiges Getreide: Weizen, enthält Eier und Eiererzeugnisse, enthält Milch und Milcherzeugnisse, enthält Sellerie und Sellerieerzeugnisse, enthält Geflügelfleisch, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=5809 kJ (1387 kcal), Fett=109,9g, davon gesättigte Fettsäuren=28,3g, Kohlenhydrate=72,4g, davon Zucker=2,9g, Ballaststoffe=0,2g, Eiweiß=32,6g, Salz=4,7g,	5809,1	1387	109,9	28,3	32,6	72,4	2,9	4,7
Hauptmensa	100	17.10.2024	309288	291549	EVERGREENS		800598	Frisches Putenschnitzel (20A,22,26,g)	Chili-Hollandaise (22,26,28)	Pommes frites				turkey schnitzel (20A,22,26,g)	chili hollandaise (22,26,28)	french fries				4,20	6,00	7,80	4,20	6,00	7,80				3, 15, 20A, 22, 26, 28, g, 99	mit Antioxidationsmittel / antioxidant, unter Schutzatmosphäre verpackt / MAP, enthält Glutenhaltiges Getreide: Weizen, enthält Eier und Eiererzeugnisse, enthält Milch und Milcherzeugnisse, enthält Sellerie und Sellerieerzeugnisse, enthält Geflügelfleisch, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=5809 kJ (1387 kcal), Fett=109,9g, davon gesättigte Fettsäuren=28,3g, Kohlenhydrate=72,4g, davon Zucker=2,9g, Ballaststoffe=0,2g, Eiweiß=32,6g, Salz=4,7g,	5809,1	1387	109,9	28,3	32,6	72,4	2,9	4,7
Hauptmensa	100	17.10.2024	309325	291982	PASTA & FRIENDS		802982	Tortellini Tricolore (20A,22,26)	Gorgonzolasauce (26,28)					vegetarian tortellini (20A,22,26)						1,60	4,50	6,40	1,60	4,50	6,40				20, 20A, 22, 26, 27, 27K, 28, 89, 99	Glutenhaltiges Getreide, enthält Glutenhaltiges Getreide: Weizen, enthält Eier und Eiererzeugnisse, enthält Milch und Milcherzeugnisse, Schalenfrüchte, enthält Schalenfrüchte: Haselnüsse, enthält Sellerie und Sellerieerzeugnisse, fleischhaltig, ohne kennzeichnungspflichtige Zusatzstoffe	Brennwert=1827 kJ (436 kcal), Fett=42,7g, davon gesättigte Fettsäuren=2,8g, Kohlenhydrate=4,1g, davon Zucker=2,7g, Eiweiß=9,2g, Salz=0,0g,	Brennwert=3246 kJ (775 kcal), Fett=21,9g, davon gesättigte Fettsäuren=9,8g, Kohlenhydrate=106,5g, davon Zucker=11,1g, Ballaststoffe=5,4g, Eiweiß=33,8g, Salz=4,4g,	3246,1	775	21,9	9,8	33,8	106,5	11,1	4,4
Hauptmensa	100	17.10.2024	309325	291982	PASTA & FRIENDS		802420	Tortellini Tricolore (20A,22,26)	Gorgonzolasauce (26,28)					vegetarian tortellini (20A,22,26)						1,60	4,50	6,40	1,60	4,50	6,40				20, 20A, 22, 26, 27, 27K, 28, 89, 99	Glutenhaltiges Getreide, enthält Glutenhaltiges Getreide: Weizen, enthält Eier und Eiererzeugnisse, enthält Milch und Milcherzeugnisse, Schalenfrüchte, enthält Schalenfrüchte: Haselnüsse, enthält Sellerie und Sellerieerzeugnisse, fleischhaltig, ohne kennzeichnungspflichtige Zusatzstoffe	Brennwert=1827 kJ (436 kcal), Fett=42,7g, davon gesättigte Fettsäuren=2,8g, Kohlenhydrate=4,1g, davon Zucker=2,7g, Eiweiß=9,2g, Salz=0,0g,	Brennwert=3246 kJ (775 kcal), Fett=21,9g, davon gesättigte Fettsäuren=9,8g, Kohlenhydrate=106,5g, davon Zucker=11,1g, Ballaststoffe=5,4g, Eiweiß=33,8g, Salz=4,4g,	3246,1	775	21,9	9,8	33,8	106,5	11,1	4,4
Hauptmensa	100	17.10.2024	309328	291991	VEGGIE & VEGAN		802571	Falafel (20A)	scharfe Tomatensauce (k)	Brokkoli	Dattel Couscous (20A,27M)			spicy tomato sauce (k)	broccoli					3,00	6,30	7,90	3,00	6,30	7,90				k, 20, 20A, 27, 27M, 99	mit Knoblauch / contains garlic, Glutenhaltiges Getreide, enthält Glutenhaltiges Getreide: Weizen, Schalenfrüchte, enthält Schalenfrüchte: Kaschunüsse, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=3813 kJ (911 kcal), Fett=33,5g, davon gesättigte Fettsäuren=4,6g, Kohlenhydrate=110,4g, davon Zucker=34,9g, Ballaststoffe=7,0g, Eiweiß=33,0g, Salz=5,0g,	3813,3	911	33,5	4,6	33,0	110,4	34,9	5,0
Hauptmensa	100	17.10.2024	308029	282271	EVERGREENS		800598	Frisches Schweineschnitzel (20A,22,s)	Chili-Hollandaise (22,26,28)	Pommes frites				fresh pork schnitzel (20A,22,s)	chili hollandaise (22,26,28)	french fries				4,20	6,00	7,80	4,20	6,00	7,80				3, 15, 20, 20A, 22, 26, 28, s, 99	mit Antioxidationsmittel / antioxidant, unter Schutzatmosphäre verpackt / MAP, Glutenhaltiges Getreide, enthält Glutenhaltiges Getreide: Weizen, enthält Eier und Eiererzeugnisse, enthält Milch und Milcherzeugnisse, enthält Sellerie und Sellerieerzeugnisse, enthält Schweinefleisch / pork, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=5939 kJ (1419 kcal), Fett=112,5g, davon gesättigte Fettsäuren=29,1g, Kohlenhydrate=58,7g, davon Zucker=2,1g, Ballaststoffe=0,2g, Eiweiß=43,0g, Salz=3,6g,	5939,1	1419	112,5	29,1	43,0	58,7	2,1	3,6
Hauptmensa	100	17.10.2024	308029	282271	EVERGREENS		802338	Frisches Schweineschnitzel (20A,22,s)	Chili-Hollandaise (22,26,28)	Pommes frites				fresh pork schnitzel (20A,22,s)	chili hollandaise (22,26,28)	french fries				4,20	6,00	7,80	4,20	6,00	7,80				3, 15, 20, 20A, 22, 26, 28, s, 99	mit Antioxidationsmittel / antioxidant, unter Schutzatmosphäre verpackt / MAP, Glutenhaltiges Getreide, enthält Glutenhaltiges Getreide: Weizen, enthält Eier und Eiererzeugnisse, enthält Milch und Milcherzeugnisse, enthält Sellerie und Sellerieerzeugnisse, enthält Schweinefleisch / pork, ohne kennzeichnungspflichtige Zusatzstoffe	-	Brennwert=5939 kJ (1419 kcal), Fett=112,5g, davon gesättigte Fettsäuren=29,1g, Kohlenhydrate=58,7g, davon Zucker=2,1g, Ballaststoffe=0,2g, Eiweiß=43,0g, Salz=3,6g,	5939,1	1419	112,5	29,1	43,0	58,7	2,1	3,6
