"id","translations"
"commentsWritingCommentsDisabled","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Das Schreiben von Kommentaren ist deaktiviert."",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Writing comments is disabled."",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""La escritura de comentarios está desactivada."",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""L'écriture de commentaires est désactivée."",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""La scrittura dei commenti è disabilitata."",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Pisanie komentarzy jest wyłączone."",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Os comentários escritos estão desativados."",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Scrierea de comentarii este dezactivată."",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Написание комментариев отключено."",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Yorum yazma devre dışı bırakılmıştır."",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Написання коментарів відключено."",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""写评论是禁用的。"",""languages_code"":""zh-ZH""}]"
"confirm_password","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Bestätigen Sie das Passwort"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Confirm password "",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Confirmar contraseña"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Confirmer le mot de passe"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Confermare la password"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Potwierdź hasło"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Confirmar senha"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Confirmați parola"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Подтверждение пароля"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Şifreyi onayla"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Підтвердити пароль"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""确认密码"",""languages_code"":""zh-ZH""}]"
"continue","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Weiter"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Continue"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Continúe en"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Continuer"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Continua"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Kontynuuj"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Continuar"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Continuați"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Продолжить"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Devam et"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Продовжуйте"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""继续"",""languages_code"":""zh-ZH""}]"
"continue_as_anonymous","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Weiter Anonym"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Continue Anonym "",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Continuar con el anonimato"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Poursuivre l'anonymat"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Continua Anonimo"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Kontynuuj anonimowo"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Continuar anônimo"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Continuă Anonimul"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Продолжение анонима"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Anonim Devam Et"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Продовжити Анонімність"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""继续匿名"",""languages_code"":""zh-ZH""}]"
"conversation","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Konversation"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Conversation"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conversación"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conversation"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conversazione"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Rozmowa"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conversação"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conversație"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Разговор"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Konuşma"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Розмова"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""谈话"",""languages_code"":""zh-ZH""}]"
"conversationWriteAMessage","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Nachricht ..."",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Message ..."",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Mensaje ..."",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Message ..."",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Messaggio ..."",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Wiadomość ..."",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Mensagem ..."",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Mesaj ..."",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Сообщение ..."",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Mesaj ..."",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Повідомлення..."",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""消息..."",""languages_code"":""zh-ZH""}]"
"conversations","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Unterhaltungen"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conversations"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conversaciones"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conversations"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conversazioni"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Rozmowy"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conversas"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conversații"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Разговоры"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Konuşmalar"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Розмови"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""对话"",""languages_code"":""zh-ZH""}]"
"cookie_policy_about","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Über Cookies"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""About cookies"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Acerca de las cookies"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""À propos des cookies"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Informazioni sui biscotti"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Informacje o plikach cookie"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Sobre os cookies"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Despre cookie-uri"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""О печенье"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Çerezler hakkında"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Про файли cookie"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""关于饼干"",""languages_code"":""zh-ZH""}]"
"cookie_policy_button_accept_all","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Alles akzeptieren"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Accept everything"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Aceptarlo todo"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Tout accepter"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Accettare tutto"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Zaakceptuj wszystko"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Aceitar tudo"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Acceptă totul"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Принимать все"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Her şeyi kabul et"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Приймайте все"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""接受一切"",""languages_code"":""zh-ZH""}]"
"cookie_policy_button_allow_selected","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Auswahl erlauben"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Allow selection"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Permitir selección"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Autoriser la sélection"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Consentire la selezione"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Zezwalaj na wybór"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Permitir seleção"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Permiteți selecția"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Разрешить выбор"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Seçime izin ver"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Дозволити вибір"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""允许选择"",""languages_code"":""zh-ZH""}]"
"cookie_policy_button_deny_all","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Ablehnen"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Decline"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Disminución"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Refuser"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Declino"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Spadek"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Declínio"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Declin"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Снижение"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Düşüş"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Занепад"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""下降"",""languages_code"":""zh-ZH""}]"
"cookie_policy_consent","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Zustimmung"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Consent"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Consentimiento"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Approbation"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Consenso"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Zgoda"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Consentimento"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Consimțământ"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Согласие"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Rıza"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Згода"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""同意"",""languages_code"":""zh-ZH""}]"
"cookie_policy_consent_date","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Einwilligungsdatum"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Consent date"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Fecha de autorización"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Date de consentement"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Data del consenso"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Data wyrażenia zgody"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Data do consentimento"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Data consimțământului"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Дата согласия"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Onay tarihi"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Дата надання згоди"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""同意的日期"",""languages_code"":""zh-ZH""}]"
"cookie_policy_details","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Details"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Details"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Detalles"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Détails"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Dettagli"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Szczegóły"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Detalhes"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Detalii"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Подробности"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Detaylar"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Деталі"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""详细内容"",""languages_code"":""zh-ZH""}]"
